uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,0,0,0,0,0,0.0,62.550000000000004,62.550000000000004,46.030515615487694,0.5894843845123021,0.0
uav_0,1,0,0,0,1,72.0,47.5,66.7,45.4280548476161,0.6024607678715882,1.67
uav_0,2,0,0,0,1,74.33333333333333,44.35,67.75,44.82657474085759,0.6014801067585157,1.67
uav_0,3,0,0,0,0,0.0,61.65,61.65,44.238534256348174,0.5880404845094143,0.0
uav_0,4,0,0,0,1,73.83333333333333,42.0,64.5,43.64169711626561,0.5968371400825631,1.67
uav_0,5,0,0,0,0,0.0,66.45,66.45,43.0459558317408,0.5957412845248159,0.0
uav_0,6,0,0,0,0,0.0,69.65,69.65,42.44508068053905,0.6008751512017503,0.0
uav_0,7,1,0,0,0,49.46666666666666,53.15,65.55,41.845807718229395,0.599272962309657,0.707
uav_0,8,0,0,0,1,72.33333333333333,45.3,65.1,41.24629462814148,0.599513090087915,1.67
uav_0,9,0,0,0,1,72.83333333333333,44.2,64.9,40.64767352138868,0.5986211067527979,1.67
uav_0,10,0,0,1,0,66.53333333333333,54.7,73.2,40.03587218127619,0.6118013401124917,1.93
uav_0,11,0,1,0,0,58.4,46.400000000000006,62.00000000000001,39.442166646755446,0.5937055345207444,1.12
uav_0,12,0,0,0,0,0.0,63.95,63.95,38.85043619557199,0.5917304511834609,0.0
uav_0,13,0,1,0,0,57.199999999999996,48.75,62.55,38.25476637771398,0.5956698178580063,1.12
uav_0,14,0,0,0,1,72.50000000000001,50.3,70.39999999999999,37.64694069316499,0.6078256845489847,1.67
uav_0,15,1,0,0,0,49.86666666666667,58.70000000000001,72.30000000000001,37.0376804141687,0.6092602789962983,0.707
uav_0,16,0,0,0,0,0.0,64.6,64.6,36.44490714631648,0.5927732678522132,0.0
uav_0,17,0,0,0,1,72.16666666666667,45.400000000000006,64.9,35.845524550673275,0.5993825956432097,1.67
uav_0,18,1,0,0,0,49.93333333333334,55.95,69.75,35.240495643907664,0.6050289067656134,0.707
uav_0,19,0,0,1,0,66.8,48.7,67.7,34.637838776035686,0.6026568678719803,1.93
uav_0,20,0,0,1,0,65.73333333333333,49.5,66.5,34.035824552609434,0.6020142234262508,1.93
uav_0,21,1,0,0,0,51.13333333333333,49.3,66.7,33.438214662525326,0.5976098900841086,0.707
uav_0,22,1,0,0,0,49.6,47.7,60.5,32.84732422801021,0.5908904345151141,0.707
uav_0,23,0,0,1,0,66.26666666666667,51.3,69.3,32.2414591490207,0.6058650789895079,1.93
uav_0,24,0,0,1,0,66.26666666666667,51.5,69.5,31.635273203363884,0.6061859456568163,1.93
uav_0,25,0,1,0,0,58.4,50.15,65.75,31.03555141883111,0.5997217845327769,1.12
uav_0,26,0,0,0,1,72.50000000000001,44.5,64.6,30.437030867634068,0.5985205511970411,1.67
uav_0,27,0,0,1,0,66.13333333333333,45.099999999999994,62.849999999999994,29.84135341922049,0.5956774484135771,1.93
uav_0,28,0,0,1,0,66.13333333333333,51.900000000000006,69.65,29.234766504118426,0.6065869151020626,1.93
uav_0,29,0,0,1,0,64.93333333333334,52.7,68.2,28.629062997351465,0.6057035067669625,1.93
uav_0,30,0,0,0,1,74.66666666666667,44.25,68.25,28.027161468369883,0.6019015289815808,1.67
uav_0,31,0,0,1,0,65.33333333333333,47.8,64.05,27.428596903283864,0.5985645650860181,1.93
uav_0,32,0,1,0,0,55.33333333333332,54.349999999999994,65.35,26.82675199652462,0.6018449067592453,1.12
uav_0,33,0,0,0,1,77.16666666666666,45.5,74.0,26.218481134196967,0.6082708623276527,1.67
uav_0,34,0,0,0,0,0.0,72.15,72.15,25.61359514965386,0.6048859845431053,0.0
uav_0,35,0,0,0,1,70.33333333333334,41.599999999999994,57.8,25.023509226251466,0.5900859234023939,1.67
uav_0,36,0,0,1,0,64.39999999999999,47.5,62.0,24.427111308392004,0.5963979178594624,1.93
uav_0,37,0,0,1,0,65.99999999999999,50.0,67.5,23.82381339051874,0.6032979178732625,1.93
uav_0,38,0,0,0,0,0.0,64.9,64.9,23.230558822665564,0.5932545678531759,0.0
uav_0,39,1,0,0,0,50.33333333333333,58.599999999999994,73.6,22.62019516588928,0.6103636567762828,0.707
uav_0,40,0,0,0,0,0.0,67.85,67.85,22.022207814693306,0.5979873511959747,0.0
uav_0,41,0,1,0,0,56.266666666666666,52.949999999999996,65.35,21.421204385713523,0.6010034289797846,1.12
uav_0,42,1,0,0,0,99.33333333333334,37.15,63.15,20.821648178958856,0.599556206754668,1.414
uav_0,43,0,0,1,0,65.06666666666666,46.7,62.45,20.225329908321775,0.596318270637081,1.93
uav_0,44,0,0,0,1,73.0,45.95,66.95,19.62361029045167,0.6017196178701059,1.67
