uav,step,service_0,service_1,service_2,service_3,cpu_utilization,uplink_data_rate,downlink_data_rate,battery,step_consumption,ram_usage
uav_0,0,0,0,0,0,0.0,13.55,13.55,46.11,0.51,0.0
uav_0,1,1,0,0,0,63.6,18.3,23.7,45.57,0.54,1.0
uav_0,2,1,0,1,0,93.53,21.0,37.1,45.0,0.56,2.0
uav_0,3,0,0,0,0,0.0,49.3,49.3,44.43,0.57,0.0
uav_0,4,0,0,0,0,0.0,62.25,62.25,43.85,0.59,0.0
uav_0,5,1,0,0,0,68.53,62.7,75.5,43.23,0.62,1.0
uav_0,6,1,0,0,0,69.73,73.25,87.85,42.59,0.64,1.0
uav_0,7,0,1,0,0,52.0,78.8,101.3,41.94,0.65,2.0
uav_0,8,0,1,0,0,53.33,90.5,115.5,41.27,0.67,2.0
uav_0,9,0,1,0,0,54.93,98.0,126.0,40.58,0.69,2.0
uav_0,10,0,1,0,0,55.73,108.9,138.4,39.88,0.7,2.0
uav_0,11,0,1,0,0,57.33,117.1,149.6,39.16,0.72,2.0
uav_0,12,0,1,0,0,59.47,124.8,161.3,38.42,0.74,2.0
uav_0,13,0,1,0,0,60.8,137.6,176.6,37.66,0.76,2.0
uav_0,14,1,0,0,0,80.8,156.25,187.45,36.87,0.79,1.0
uav_0,15,0,0,0,1,99.17,122.45,199.95,36.09,0.78,1.0
uav_0,16,0,0,0,0,0.0,215.4,215.4,35.26,0.83,0.0
uav_1,0,0,1,0,0,41.6,11.2,14.2,46.1,0.52,2.0
uav_1,1,0,0,1,0,27.8,21.1,26.2,45.56,0.54,1.0
uav_1,2,0,0,0,1,78.83,22.85,39.35,45.0,0.56,1.0
uav_1,3,0,0,0,0,0.0,54.85,54.85,44.42,0.58,0.0
uav_1,4,0,0,0,0,0.0,69.1,69.1,43.82,0.6,0.0
uav_1,5,0,0,1,0,30.73,62.85,81.15,43.21,0.61,1.0
uav_1,6,0,0,1,0,31.47,71.9,93.5,42.58,0.63,1.0
uav_1,7,0,0,1,0,64.4,59.1,108.9,41.93,0.64,2.0
uav_1,8,0,0,0,1,89.33,72.0,120.0,41.26,0.67,1.0
uav_1,9,0,0,1,0,33.87,97.95,130.35,40.58,0.68,1.0
uav_1,10,0,1,0,0,54.8,113.8,141.55,39.87,0.71,2.0
uav_1,11,0,0,1,0,35.67,115.5,156.0,39.15,0.72,1.0
uav_1,12,0,0,1,0,37.0,123.4,169.9,38.42,0.74,1.0
uav_1,13,0,0,1,0,38.13,135.6,187.2,37.66,0.76,1.0
uav_1,14,0,0,0,1,98.67,124.65,200.65,36.88,0.78,1.0
uav_1,15,0,0,1,0,39.07,156.75,212.55,36.08,0.8,1.0
uav_1,16,0,0,1,0,39.67,165.55,224.05,35.27,0.81,1.0
uav_2,0,0,0,1,0,27.67,9.85,14.35,46.1,0.52,1.0
uav_2,1,0,0,0,0,0.0,26.5,26.5,45.57,0.53,0.0
uav_2,2,0,0,0,1,78.0,27.05,41.05,45.0,0.57,1.0
uav_2,3,0,0,0,0,0.0,55.65,55.65,44.43,0.58,0.0
uav_2,4,0,1,0,0,45.73,56.2,66.95,43.82,0.6,2.0
uav_2,5,0,0,1,0,32.0,54.95,78.95,43.22,0.61,1.0
uav_2,6,1,0,0,0,69.6,74.45,88.85,42.58,0.64,1.0
uav_2,7,0,1,0,0,50.4,78.3,97.8,41.93,0.65,2.0
uav_2,8,0,1,0,0,51.87,88.2,110.45,41.27,0.66,2.0
uav_2,9,0,1,0,0,52.53,97.2,120.7,40.59,0.68,2.0
uav_2,10,0,0,0,0,0.0,131.95,131.95,39.89,0.7,0.0
uav_2,11,0,0,0,0,0.0,142.2,142.2,39.17,0.72,0.0
uav_2,12,0,1,0,0,56.27,121.7,152.2,38.44,0.73,2.0
uav_2,13,0,0,0,0,0.0,164.9,164.9,37.69,0.75,0.0
uav_2,14,1,0,0,0,80.53,147.75,178.55,36.91,0.78,1.0
uav_2,15,1,0,0,0,82.13,161.4,194.6,36.11,0.8,1.0
uav_2,16,1,0,0,0,83.33,174.3,209.3,35.29,0.82,1.0
